case,round,flow,method,input_bytes,encoded_stream_payload_bytes,reconstructed_bytes,client_completion_ms,connection_plus_application_completion_ms,client_ttfb_ms,encoded_goodput_mbps,reconstructed_goodput_mbps,reconstruction_ok,congestion_control_algorithm,application_stream_id,encoded_goodput_jain_fairness,pair_qdisc_bytes,pair_qdisc_packets,pair_qdisc_drops,case_execution_order
redulink-redulink,17,A,redulink,8388608,833610,8388608,3180.608,3645.987,181.46,2.096731,21.099382,True,reno,0,0.884992,1865789,2422,18,1
redulink-redulink,17,B,redulink,8388608,833610,8388608,1495.068,1915.408,205.375,4.460586,44.886831,True,reno,0,0.884992,1865789,2422,18,1
raw-redulink,17,A,raw,833536,833536,833536,2810.37,3089.769,88.451,2.372744,2.372744,True,reno,0,0.869747,1859767,2376,15,2
raw-redulink,17,B,redulink,8388608,833610,8388608,1242.221,1475.938,133.229,5.368513,54.023289,True,reno,0,0.869747,1859767,2376,15,2
raw-raw,17,A,raw,833536,833536,833536,1699.874,1750.655,45.407,3.922813,3.922813,True,reno,0,0.975637,1857943,2364,8,3
raw-raw,17,B,raw,833536,833536,833536,1235.945,1285.824,45.552,5.395295,5.395295,True,reno,0,0.975637,1857943,2364,8,3
raw-redulink,18,A,raw,833536,833536,833536,2197.898,2477.011,88.512,3.033939,3.033939,True,reno,0,0.938761,1859571,2373,7,1
raw-redulink,18,B,redulink,8388608,833610,8388608,1303.702,1538.196,132.145,5.115341,51.475616,True,reno,0,0.938761,1859571,2373,7,1
raw-raw,18,A,raw,833536,833536,833536,1720.055,1770.198,45.518,3.876788,3.876788,True,reno,0,0.999002,1862092,2416,12,2
raw-raw,18,B,raw,833536,833536,833536,1614.673,1665.589,45.464,4.129807,4.129807,True,reno,0,0.999002,1862092,2416,12,2
redulink-redulink,18,A,redulink,8388608,833610,8388608,2143.379,2608.09,182.171,3.111386,31.309845,True,reno,0,0.99938,1867086,2440,13,3
redulink-redulink,18,B,redulink,8388608,833610,8388608,2039.17,2458.811,206.16,3.270389,32.909892,True,reno,0,0.99938,1867086,2440,13,3
raw-raw,19,A,raw,833536,833536,833536,1848.722,2030.647,45.492,3.606972,3.606972,True,reno,0,0.987473,1865627,2461,14,1
raw-raw,19,B,raw,833536,833536,833536,1474.436,1655.338,44.443,4.522603,4.522603,True,reno,0,0.987473,1865627,2461,14,1
redulink-redulink,19,A,redulink,8388608,833610,8388608,2618.062,3084.514,182.025,2.547258,25.633031,True,reno,0,0.950515,1862195,2377,12,2
redulink-redulink,19,B,redulink,8388608,833610,8388608,1645.296,2066.28,206.357,4.053301,40.788323,True,reno,0,0.950515,1862195,2377,12,2
raw-redulink,19,A,raw,833536,833536,833536,2141.904,2424.915,89.097,3.113253,3.113253,True,reno,0,0.954462,1854015,2301,12,3
raw-redulink,19,B,redulink,8388608,833610,8388608,1374.067,1608.66,136.509,4.853388,48.839586,True,reno,0,0.954462,1854015,2301,12,3
redulink-redulink,20,A,redulink,8388608,833610,8388608,2705.321,3174.1,183.036,2.465097,24.806248,True,reno,0,0.99835,1874301,2536,19,1
redulink-redulink,20,B,redulink,8388608,833610,8388608,2934.59,3357.661,207.687,2.272508,22.868225,True,reno,0,0.99835,1874301,2536,19,1
raw-redulink,20,A,raw,833536,833536,833536,2573.076,2851.661,88.84,2.591563,2.591563,True,reno,0,0.888589,1860069,2380,9,2
raw-redulink,20,B,redulink,8388608,833610,8388608,1227.483,1460.89,133.094,5.432971,54.671929,True,reno,0,0.888589,1860069,2380,9,2
raw-raw,20,A,raw,833536,833536,833536,1601.198,1652.041,45.382,4.164562,4.164562,True,reno,0,0.999975,1859084,2377,15,3
raw-raw,20,B,raw,833536,833536,833536,1585.182,1635.095,45.586,4.206639,4.206639,True,reno,0,0.999975,1859084,2377,15,3
