object,role,stream_id,input_bytes,initial_ref_frames,initial_full_frames,semantic_misses,repair_full_frames,forward_protocol_stream_bytes,reverse_repair_control_stream_bytes,measurement_control_stream_bytes_excluded,diagnostic_stats_stream_bytes_excluded,client_ttfb_from_session_ms,client_completion_from_session_ms,client_stream_duration_ms,server_completion_ms,reconstruction_ok,tls_exporter_live,tls_exporter_outputs_match,sender_drain_batch_bytes,mode,round,execution_order
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1134,5440.794,5493.683,97.632,51.93,True,True,True,65536,sequential,6,1
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1136,5538.5,5591.773,97.902,52.205,True,True,True,65536,sequential,6,1
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1137,5636.77,5689.963,97.977,52.146,True,True,True,65536,sequential,6,1
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1137,5734.916,5788.084,97.894,52.138,True,True,True,65536,sequential,6,1
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,680.925,5665.195,5616.903,5503.689,True,True,True,65536,multiplexed,6,2
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1138,162.445,355.344,247.992,163.571,True,True,True,65536,multiplexed,6,2
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1138,163.597,382.803,272.958,187.716,True,True,True,65536,multiplexed,6,2
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1139,164.716,364.66,252.423,178.241,True,True,True,65536,multiplexed,6,2
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1140,205.071,381.708,267.365,181.999,True,True,True,65536,multiplexed,6,2
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,831.177,7497.607,7449.227,7335.547,True,True,True,65536,multiplexed,7,1
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1138,163.131,349.064,241.263,184.669,True,True,True,65536,multiplexed,7,1
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1138,164.386,352.098,241.715,183.733,True,True,True,65536,multiplexed,7,1
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1139,165.709,350.989,237.826,181.871,True,True,True,65536,multiplexed,7,1
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1140,205.946,350.072,234.797,177.518,True,True,True,65536,multiplexed,7,1
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,649.769,3011.968,2963.107,2848.415,True,True,True,65536,sequential,7,2
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1136,3058.489,3155.544,141.878,96.136,True,True,True,65536,sequential,7,2
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1134,3200.458,3290.71,134.971,89.33,True,True,True,65536,sequential,7,2
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1137,3335.823,3420.611,129.663,83.965,True,True,True,65536,sequential,7,2
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1136,3465.511,3528.055,107.28,61.394,True,True,True,65536,sequential,7,2
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,630.665,5016.016,4967.319,4847.608,True,True,True,65536,sequential,8,1
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1136,5062.618,5117.023,99.241,53.447,True,True,True,65536,sequential,8,1
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1136,5161.909,5216.599,99.389,53.631,True,True,True,65536,sequential,8,1
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1137,5261.625,5316.428,99.619,53.705,True,True,True,65536,sequential,8,1
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1137,5361.299,5416.132,99.502,53.772,True,True,True,65536,sequential,8,1
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,709.348,6363.15,6314.673,6201.258,True,True,True,65536,multiplexed,8,2
