payload,rate_mbps,rtt_ms,loss_every,round,method,input_bytes,encoded_stream_payload_bytes,reconstructed_bytes,completion_ms_measured,reconstructed_rate_mbps_measured,encoded_rate_mbps_measured,reconstruction_ok,semantic_misses,mean_queue_delay_ms,max_queue_delay_ms,emulation
demo,5.0,20.0,0,20,redulink-binary-quic-stream,98304,30818,98304,863.962,0.910262,0.285364,True,13,14.053,49.175,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,1,raw-quic-stream,98304,98304,98304,1191.216,0.660193,0.660193,True,0,6.59,40.487,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,1,redulink-binary-quic-stream,98304,30818,98304,1046.293,0.751636,0.235636,True,13,6.59,40.487,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,2,raw-quic-stream,98304,98304,98304,1263.278,0.622533,0.622533,True,0,6.87,45.653,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,2,redulink-binary-quic-stream,98304,30818,98304,1082.763,0.72632,0.227699,True,13,6.87,45.653,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,3,raw-quic-stream,98304,98304,98304,1099.642,0.715171,0.715171,True,0,5.926,33.72,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,3,redulink-binary-quic-stream,98304,30818,98304,1128.254,0.697035,0.218518,True,13,5.926,33.72,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,4,raw-quic-stream,98304,98304,98304,1270.451,0.619018,0.619018,True,0,6.999,43.428,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,4,redulink-binary-quic-stream,98304,30818,98304,1093.151,0.719418,0.225535,True,13,6.999,43.428,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,5,raw-quic-stream,98304,98304,98304,1262.607,0.622864,0.622864,True,0,6.911,46.046,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
