payload,rate_mbps,rtt_ms,loss_every,round,method,input_bytes,encoded_stream_payload_bytes,reconstructed_bytes,completion_ms_measured,reconstructed_rate_mbps_measured,encoded_rate_mbps_measured,reconstruction_ok,semantic_misses,mean_queue_delay_ms,max_queue_delay_ms,emulation
redis,5.0,80.0,0,10,raw-quic-stream,524288,524288,524288,3874.911,1.082426,1.082426,True,0,60.223,253.822,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,10,redulink-binary-quic-stream,524288,136756,524288,4731.521,0.88646,0.231225,True,72,60.223,253.822,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,11,raw-quic-stream,524288,524288,524288,3819.507,1.098127,1.098127,True,0,59.145,249.821,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,11,redulink-binary-quic-stream,524288,136756,524288,4658.13,0.900427,0.234868,True,72,59.145,249.821,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,12,raw-quic-stream,524288,524288,524288,3761.392,1.115094,1.115094,True,0,57.966,245.539,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,12,redulink-binary-quic-stream,524288,136756,524288,4594.949,0.912808,0.238098,True,72,57.966,245.539,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,13,raw-quic-stream,524288,524288,524288,2455.708,1.707982,1.707982,True,0,31.509,164.547,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,13,redulink-binary-quic-stream,524288,136756,524288,3334.322,1.257918,0.328117,True,72,31.509,164.547,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,14,raw-quic-stream,524288,524288,524288,2417.666,1.734857,1.734857,True,0,30.861,164.235,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,14,redulink-binary-quic-stream,524288,136756,524288,3312.515,1.266199,0.330277,True,72,30.861,164.235,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,15,raw-quic-stream,524288,524288,524288,2516.528,1.666703,1.666703,True,0,32.883,168.277,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,15,redulink-binary-quic-stream,524288,136756,524288,3378.649,1.241415,0.323812,True,72,32.883,168.277,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,16,raw-quic-stream,524288,524288,524288,3941.448,1.064153,1.064153,True,0,61.273,263.111,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,16,redulink-binary-quic-stream,524288,136755,524288,4874.056,0.860537,0.224462,True,72,61.273,263.111,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,17,raw-quic-stream,524288,524288,524288,3731.363,1.124068,1.124068,True,0,57.351,244.432,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
