payload_blocks,input_bytes,input_mib,round,execution_order,method,client_completion_ms,combined_endpoint_process_cpu_ms,combined_endpoint_process_cpu_ms_per_mib,reconstructed_throughput_mib_s,encoded_stream_payload_bytes,stream_payload_multiplier,client_ttfb_ms,reconstruction_ok,congestion_control_algorithm,tls_exporter_live,tls_exporter_outputs_match
1024,1048576,1.0,9,1,raw-quic-stream,39.428,38.771,38.771,25.362686,1048576,1.0,6.413,True,reno,not-applicable,not-applicable
1024,1048576,1.0,9,2,redulink-binary-quic-stream,36.555,36.332,36.332,27.356039,109642,9.563634,22.247,True,reno,True,True
1024,1048576,1.0,10,1,redulink-binary-quic-stream,42.299,41.36,41.36,23.641221,109642,9.563634,25.555,True,reno,True,True
1024,1048576,1.0,10,2,raw-quic-stream,45.965,43.385,43.385,21.755684,1048576,1.0,7.767,True,reno,not-applicable,not-applicable
4096,4194304,4.0,1,1,raw-quic-stream,137.067,136.354,34.0885,29.182808,4194304,1.0,7.607,True,reno,not-applicable,not-applicable
4096,4194304,4.0,1,2,redulink-binary-quic-stream,121.826,121.66,30.415,32.833714,419914,9.988483,68.338,True,reno,True,True
4096,4194304,4.0,2,1,redulink-binary-quic-stream,121.453,121.257,30.31425,32.934551,419914,9.988483,68.295,True,reno,True,True
4096,4194304,4.0,2,2,raw-quic-stream,136.232,135.523,33.88075,29.361677,4194304,1.0,7.51,True,reno,not-applicable,not-applicable
4096,4194304,4.0,3,1,raw-quic-stream,137.95,137.068,34.267,28.996013,4194304,1.0,8.083,True,reno,not-applicable,not-applicable
4096,4194304,4.0,3,2,redulink-binary-quic-stream,124.301,123.992,30.998,32.17995,419914,9.988483,70.168,True,reno,True,True
4096,4194304,4.0,4,1,redulink-binary-quic-stream,132.419,130.456,32.614,30.207146,419914,9.988483,75.945,True,reno,True,True
4096,4194304,4.0,4,2,raw-quic-stream,141.755,140.562,35.1405,28.2177,4194304,1.0,7.797,True,reno,not-applicable,not-applicable
4096,4194304,4.0,5,1,raw-quic-stream,139.005,138.152,34.538,28.775943,4194304,1.0,7.733,True,reno,not-applicable,not-applicable
4096,4194304,4.0,5,2,redulink-binary-quic-stream,123.904,123.681,30.92025,32.283058,419914,9.988483,69.271,True,reno,True,True
4096,4194304,4.0,6,1,redulink-binary-quic-stream,134.841,132.097,33.02425,29.664568,419914,9.988483,76.24,True,reno,True,True
4096,4194304,4.0,6,2,raw-quic-stream,216.911,184.701,46.17525,18.440743,4194304,1.0,9.279,True,reno,not-applicable,not-applicable
4096,4194304,4.0,7,1,raw-quic-stream,208.058,191.444,47.861,19.225408,4194304,1.0,10.19,True,reno,not-applicable,not-applicable
4096,4194304,4.0,7,2,redulink-binary-quic-stream,146.862,140.308,35.077,27.236453,419914,9.988483,87.622,True,reno,True,True
4096,4194304,4.0,8,1,redulink-binary-quic-stream,126.846,126.349,31.58725,31.534301,419914,9.988483,71.073,True,reno,True,True
4096,4194304,4.0,8,2,raw-quic-stream,146.699,144.607,36.15175,27.266716,4194304,1.0,8.355,True,reno,not-applicable,not-applicable
4096,4194304,4.0,9,1,raw-quic-stream,139.177,138.159,34.53975,28.740381,4194304,1.0,7.505,True,reno,not-applicable,not-applicable
4096,4194304,4.0,9,2,redulink-binary-quic-stream,132.321,130.441,32.61025,30.229518,419914,9.988483,73.343,True,reno,True,True
4096,4194304,4.0,10,1,redulink-binary-quic-stream,129.365,128.418,32.1045,30.920264,419914,9.988483,73.626,True,reno,True,True
4096,4194304,4.0,10,2,raw-quic-stream,143.387,141.819,35.45475,27.896532,4194304,1.0,8.326,True,reno,not-applicable,not-applicable
16384,16777216,16.0,1,1,raw-quic-stream,567.437,564.036,35.25225,28.196963,16777216,1.0,12.495,True,reno,not-applicable,not-applicable
16384,16777216,16.0,1,2,redulink-binary-quic-stream,508.282,504.764,31.54775,31.478589,1661002,10.10066,269.433,True,reno,True,True
16384,16777216,16.0,2,1,redulink-binary-quic-stream,619.22,543.0,33.9375,25.838959,1661002,10.10066,377.061,True,reno,True,True
16384,16777216,16.0,2,2,raw-quic-stream,546.816,545.562,34.097625,29.2603,16777216,1.0,11.803,True,reno,not-applicable,not-applicable
16384,16777216,16.0,3,1,raw-quic-stream,537.98,537.303,33.581437,29.740883,16777216,1.0,13.49,True,reno,not-applicable,not-applicable
16384,16777216,16.0,3,2,redulink-binary-quic-stream,490.621,485.913,30.369563,32.611731,1661002,10.10066,265.328,True,reno,True,True
16384,16777216,16.0,4,1,redulink-binary-quic-stream,517.25,511.718,31.982375,30.932818,1661002,10.10066,283.326,True,reno,True,True
16384,16777216,16.0,4,2,raw-quic-stream,575.999,570.62,35.66375,27.777826,16777216,1.0,13.127,True,reno,not-applicable,not-applicable
16384,16777216,16.0,5,1,raw-quic-stream,557.104,553.267,34.579188,28.719952,16777216,1.0,12.156,True,reno,not-applicable,not-applicable
16384,16777216,16.0,5,2,redulink-binary-quic-stream,671.648,599.468,37.46675,23.822002,1661002,10.10066,306.214,True,reno,True,True
16384,16777216,16.0,6,1,redulink-binary-quic-stream,491.811,490.151,30.634438,32.532823,1661002,10.10066,265.992,True,reno,True,True
16384,16777216,16.0,6,2,raw-quic-stream,540.0,538.811,33.675688,29.62963,16777216,1.0,12.209,True,reno,not-applicable,not-applicable
16384,16777216,16.0,7,1,raw-quic-stream,535.939,535.304,33.4565,29.854144,16777216,1.0,13.299,True,reno,not-applicable,not-applicable
16384,16777216,16.0,7,2,redulink-binary-quic-stream,481.283,481.005,30.062812,33.244474,1661002,10.10066,256.518,True,reno,True,True
16384,16777216,16.0,8,1,redulink-binary-quic-stream,478.569,478.257,29.891063,33.433005,1661002,10.10066,258.569,True,reno,True,True
16384,16777216,16.0,8,2,raw-quic-stream,564.928,559.437,34.964813,28.322193,16777216,1.0,17.307,True,reno,not-applicable,not-applicable
16384,16777216,16.0,9,1,raw-quic-stream,530.824,530.181,33.136313,30.141817,16777216,1.0,12.186,True,reno,not-applicable,not-applicable
16384,16777216,16.0,9,2,redulink-binary-quic-stream,480.265,480.062,30.003875,33.314941,1661002,10.10066,258.995,True,reno,True,True
16384,16777216,16.0,10,1,redulink-binary-quic-stream,481.805,480.881,30.055062,33.208456,1661002,10.10066,259.963,True,reno,True,True
16384,16777216,16.0,10,2,raw-quic-stream,548.791,547.139,34.196188,29.154997,16777216,1.0,13.961,True,reno,not-applicable,not-applicable
32768,33554432,32.0,1,1,raw-quic-stream,1071.409,1069.452,33.420375,29.867212,33554432,1.0,17.841,True,reno,not-applicable,not-applicable
32768,33554432,32.0,1,2,redulink-binary-quic-stream,955.523,953.729,29.804031,33.489513,3315786,10.119601,512.459,True,reno,True,True
32768,33554432,32.0,2,1,redulink-binary-quic-stream,1014.498,984.45,30.764063,31.542694,3315786,10.119601,537.322,True,reno,True,True
32768,33554432,32.0,2,2,raw-quic-stream,1071.717,1066.158,33.317437,29.858629,33554432,1.0,20.506,True,reno,not-applicable,not-applicable
32768,33554432,32.0,3,1,raw-quic-stream,1055.541,1054.353,32.948531,30.316208,33554432,1.0,16.554,True,reno,not-applicable,not-applicable
32768,33554432,32.0,3,2,redulink-binary-quic-stream,955.042,954.05,29.814062,33.50638,3315786,10.119601,511.266,True,reno,True,True
32768,33554432,32.0,4,1,redulink-binary-quic-stream,969.274,961.134,30.035438,33.0144,3315786,10.119601,515.848,True,reno,True,True
32768,33554432,32.0,4,2,raw-quic-stream,1049.118,1048.22,32.756875,30.501812,33554432,1.0,16.113,True,reno,not-applicable,not-applicable
32768,33554432,32.0,5,1,raw-quic-stream,1061.519,1060.224,33.132,30.14548,33554432,1.0,16.081,True,reno,not-applicable,not-applicable
32768,33554432,32.0,5,2,redulink-binary-quic-stream,951.884,950.675,29.708594,33.617542,3315786,10.119601,513.325,True,reno,True,True
32768,33554432,32.0,6,1,redulink-binary-quic-stream,953.937,952.637,29.769906,33.545192,3315786,10.119601,509.532,True,reno,True,True
32768,33554432,32.0,6,2,raw-quic-stream,1083.265,1076.522,33.641312,29.540325,33554432,1.0,15.957,True,reno,not-applicable,not-applicable
32768,33554432,32.0,7,1,raw-quic-stream,1048.593,1047.268,32.727125,30.517083,33554432,1.0,17.582,True,reno,not-applicable,not-applicable
32768,33554432,32.0,7,2,redulink-binary-quic-stream,945.417,944.407,29.512719,33.847498,3315786,10.119601,504.735,True,reno,True,True
32768,33554432,32.0,8,1,redulink-binary-quic-stream,1025.249,985.922,30.810063,31.21193,3315786,10.119601,515.647,True,reno,True,True
32768,33554432,32.0,8,2,raw-quic-stream,1071.193,1066.828,33.338375,29.873235,33554432,1.0,16.402,True,reno,not-applicable,not-applicable
32768,33554432,32.0,9,1,raw-quic-stream,1056.254,1055.007,32.968969,30.295743,33554432,1.0,15.645,True,reno,not-applicable,not-applicable
32768,33554432,32.0,9,2,redulink-binary-quic-stream,974.896,973.02,30.406875,32.824014,3315786,10.119601,524.652,True,reno,True,True
32768,33554432,32.0,10,1,redulink-binary-quic-stream,956.875,955.808,29.869,33.442195,3315786,10.119601,513.327,True,reno,True,True
32768,33554432,32.0,10,2,raw-quic-stream,1062.423,1060.878,33.152437,30.11983,33554432,1.0,17.231,True,reno,not-applicable,not-applicable
