payload,payload_note,round,method,input_bytes,encoded_stream_payload_bytes,reconstructed_bytes,completion_ms_measured,reconstructed_rate_mbps_measured,encoded_rate_mbps_measured,reconstruction_ok,semantic_misses,repair_full_frames,emulation,rate_mbps,rtt_ms,loss_percent
demo,constructed byte-stable demo,15,raw-quic-stream,98304,98304,98304,325.291,2.417626,2.417626,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,15,redulink-binary-quic-stream,98304,30817,98304,363.591,2.162958,0.678059,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,16,raw-quic-stream,98304,98304,98304,338.706,2.321872,2.321872,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,16,redulink-binary-quic-stream,98304,30817,98304,369.055,2.130934,0.66802,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,17,raw-quic-stream,98304,98304,98304,319.019,2.465157,2.465157,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,17,redulink-binary-quic-stream,98304,30817,98304,334.833,2.348729,0.736295,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,18,raw-quic-stream,98304,98304,98304,316.177,2.487316,2.487316,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,18,redulink-binary-quic-stream,98304,30817,98304,333.768,2.356223,0.738645,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,19,raw-quic-stream,98304,98304,98304,333.315,2.359426,2.359426,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,19,redulink-binary-quic-stream,98304,30817,98304,361.888,2.173136,0.681249,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,20,raw-quic-stream,98304,98304,98304,338.955,2.320166,2.320166,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,20,redulink-binary-quic-stream,98304,30817,98304,364.153,2.15962,0.677012,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
redis,real Redis-layered public bytes,1,raw-quic-stream,524288,524288,524288,1904.849,2.201909,2.201909,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
redis,real Redis-layered public bytes,1,redulink-binary-quic-stream,524288,136756,524288,2652.122,1.58149,0.412518,True,72,72,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
redis,real Redis-layered public bytes,2,raw-quic-stream,524288,524288,524288,1952.103,2.148608,2.148608,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
