family,artifact,mode,chunker,method,input_bytes,wire_bytes,saving_rate,effective_multiplier,chunks,full_frames,ref_frames,reconstruction_ok,comparable,cpu_ms,throughput_mib_s,peak_kib,notes
public-artifact,cpython-http-server,single-object,none,raw,48516,48516,0.000000,1.000000,0,0,0,True,True,,,,
public-artifact,cpython-http-server,single-object,none,gzip-6,48516,14856,0.693792,3.265751,0,0,0,True,True,1.853,24.963,26624.0,
public-artifact,cpython-http-server,single-object,none,zstd-3,48516,15907,0.672129,3.049978,0,0,0,True,True,36.297,1.275,26704.0,
public-artifact,cpython-http-server,warm-update-like,fixed,fixed-block-reuse,48516,40380,0.167697,1.201486,3,2,1,True,True,14.565,3.177,26720.0,fixed-block reuse approximation against warm artifact; not wire-compatible rsync
public-artifact,cpython-http-server,cold-intra-artifact,fixed,redulink,48516,48660,0.000000,0.997041,6,6,0,True,True,0.357,129.710,26752.0,
public-artifact,cpython-http-server,warm-update-like,fixed,redulink,48516,48660,0.000000,0.997041,6,6,0,True,True,0.185,249.762,26800.0,
public-artifact,cpython-http-server,cold-intra-artifact,cdc,redulink,48516,48612,0.000000,0.998025,4,4,0,True,True,14.844,3.117,26800.0,
public-artifact,cpython-http-server,warm-update-like,cdc,redulink,48516,48612,0.000000,0.998025,4,4,0,True,True,48.086,0.962,26832.0,
public-artifact,cpython-http-server,warm-update-like,cdc,gzip-then-redulink,14856,14928,0.000000,0.995177,3,3,0,True,True,14.176,0.999,26992.0,ReduLink applied after gzip compression
public-artifact,cpython-http-server,warm-update-like,cdc,redulink-then-gzip,48516,15017,0.690473,3.230738,4,4,0,True,False,49.889,0.927,27104.0,gzip applied to modeled ReduLink frame stream
public-artifact,cpython-http-server,warm-update-like,cdc,zstd-then-redulink,15907,15931,0.000000,0.998494,1,1,0,True,True,21.141,0.718,27168.0,ReduLink applied after zstd compression
public-artifact,cpython-pathlib,single-object,none,raw,51149,51149,0.000000,1.000000,0,0,0,True,True,,,,
public-artifact,cpython-pathlib,single-object,none,gzip-6,51149,12569,0.754267,4.069457,0,0,0,True,True,2.118,23.035,27168.0,
public-artifact,cpython-pathlib,single-object,none,zstd-3,51149,13647,0.733191,3.748003,0,0,0,True,True,33.275,1.466,27216.0,
public-artifact,cpython-pathlib,warm-update-like,fixed,fixed-block-reuse,51149,51169,0.000000,0.999609,1,1,0,True,True,19.369,2.518,27216.0,fixed-block reuse approximation against warm artifact; not wire-compatible rsync
public-artifact,cpython-pathlib,cold-intra-artifact,fixed,redulink,51149,51317,0.000000,0.996726,7,7,0,True,True,0.228,213.749,27216.0,
